feature,importance
percent_fsm,0.3967319015428614
year_numeric,0.29839155499179737
phase_numeric,0.2092014794463781
log_pupils,0.0436309815099456
imd_score,0.02129679828777257
region_London,0.01296270309756038
region_South West,0.004151907640196105
region_East of England,0.0028819660050051275
region_South East,0.0024398507117292965
region_North West,0.0021064623872866562
region_West Midlands,0.001902682809003662
is_urban,0.001791731804375179
region_Yorkshire and the Humber,0.0010151589302869002
imd_quintile,0.0008627157533348815
region_North East,0.0006321050824666863
